Game,Genre,Platform,Release Date,Series,Developer,Tier
Ratchet and Clank: Going Commando,Action Platformer,PS2,2003,Ratchet and Clank,Insomniac Games,4
Viewtiful Joe,Beat Em Up,GC,2003,Viewtiful Joe,Capcom,4
Jak 2,Action Platformer,PS2,2003,Jak and Daxter,Naughty Dog,3
Simpsons: Hit and Run,Action Adventure,PS2,2003,Simpsons,Radical Entertainment,3
F-Zero: GX,Racing,GC,2003,F-Zero,Amusement Vision,3
Sonic Heroes,3D Platformer,GC,2003,Sonic,Sonic Team,2
Kirby Air Ride,Racing,GC,2003,Kirby,HAL Laboratory,2
Mario Kart: Double Dash,Racing,GC,2003,Mario Kart,Nintendo,1
Fire Emblem: Sacred Stones,Tactical RPG,GBA,2004,Fire Emblem,Intelligent Systems,5
Paper Mario: Thousand Year Door,RPG,GC,2004,Paper Mario,Intelligent Systems,5
Phoenix Wright: Trials and Tribulations,Visual Novel,DS,2004,Ace Attorney,Capcom,5
Kirby & the Amazing Mirror,2D Platformer,GBA,2004,Kirby,HAL Laboratory,4
LoZ: Minish Cap,Action Adventure,GBA,2004,Legend of Zelda,Flagship,4
Ratchet and Clank: Up Your Arsenal,Action Platformer,PS2,2004,Ratchet and Clank,Insomniac Games,4
Star Wars Battlefront,FPS,PS2,2004,Star Wars,Pandemic Studios,3
Jak 3,Action Platformer,PS2,2004,Jak and Daxter,Naughty Dog,3
LoZ: Four Sword Adventure,Action Adventure,GC,2004,Legend of Zelda,Nintendo,3
Fire Emblem: Path of Radiance,Tactical RPG,GC,2005,Fire Emblem,Intelligent Systems,4
Star Wars Battlefront 2,FPS,PS2,2005,Star Wars,Pandemic Studios,4
Pokemon: Gale of Darkness,RPG,GC,2005,Pokemon,Genius Sonority,3
